statement,status
To be honest I feel like my mind works differently from everyone else and it has been going on for a while.,Bi-Polar
I feel like I have no stable sense of self which is not normal for me.,Personality Disorder
To be honest I feel like there is no hope left for me every single day.,Suicidal
Recently But last month I could not leave my room for weeks every single day.,Bi-Polar
To be honest I feel completely hopeless and see no way out,Suicidal
I notice that Then suddenly I crash and feel totally depressed and I wish I could change it.,Bi-Polar
I feel so nervous and I don't know why more than I would like to admit.,Anxiety
Sometimes I feel like I cannot take the pain anymore and it is exhausting.,Suicidal
It feels like I am happy with where things are going in my life and it is hard.,Normal
Most days Then suddenly I crash and feel totally depressed and it has been going on for a while.,Bi-Polar
I notice that I went to the gym and feel great every single day.,Normal
To be honest I get headaches from all the stress I am under lately.,Stress
Sometimes I am overwhelmed by financial stress and do not know what to do and I do not know what to do.,Stress
Often I feel like I am on a rollercoaster I cannot get off,Bi-Polar
Lately I have no energy to do anything today and it is exhausting.,Depression
It feels like Stress is making it hard to eat and sleep properly and it is exhausting.,Stress
Often I cry for no reason sometimes and I wish I could change it.,Depression
Today I am terrified of being abandoned by the people I love,Personality Disorder
Today I feel like I need to do everything at once when I am high every single day.,Bi-Polar
Often Simple tasks feel overwhelming because I overthink them,Anxiety
I feel like I have no energy to do anything today and I do not know what to do.,Depression
Sometimes I feel like I don't want to be here anymore and it has been going on for a while.,Suicidal
I think I feel like giving up on life completely,Suicidal
Honestly I have been sleeping too much and still feel tired and it has been going on for a while.,Depression
Recently I have very intense emotions that shift very quickly and it is exhausting.,Personality Disorder
To be honest I feel no major worries today and that feels nice,Normal
Often I keep thinking about what it would be like to die every single day.,Suicidal
My relationships suffer because of my extreme mood changes every single day.,Bi-Polar
I think I alternate between feeling special and feeling worthless and that worries me.,Personality Disorder
Often My heart is racing and I can't calm down every single day.,Anxiety
Often I feel like the pain will never stop so why continue and I wish I could change it.,Suicidal
To be honest I feel completely hopeless and see no way out,Suicidal
I feel like I can never relax or take a break and it has been going on for a while.,Anxiety
Today I feel short-tempered and frustrated because of stress and it is exhausting.,Stress
I feel like I have so much on my plate and I don't know where to start lately.,Stress
It feels like very sensitive to rejection and criticism and I do not know what to do.,Personality Disorder
To be honest I feel like I do not fit in anywhere and it is hard.,Personality Disorder
Every day I cannot concentrate because my thoughts are all over the place and it has been going on for a while.,Anxiety
Often Simple tasks feel overwhelming because I overthink them,Anxiety
I feel like I am failing at everything,Depression
I notice that I act impulsively to avoid feeling the pain I carry inside and that worries me.,Personality Disorder
I feel like my identity changes depending on who I am with and I do not know what to do.,Personality Disorder
Today I feel like I need constant reassurance that people care and I do not know what to do.,Personality Disorder
Often I cry for no reason sometimes,Depression
Every day I worry about my health constantly and it is hard.,Anxiety
Recently I feel dread every morning when I wake up and it is exhausting.,Anxiety
Sometimes I had a nice conversation and feel uplifted,Normal
Leaving the house feels really hard some days lately.,Anxiety
Every day Nothing feels enjoyable or exciting anymore more than I would like to admit.,Depression
Recently I feel very negative about myself and my future and it has been going on for a while.,Depression
It feels like like everyone would be better off without me and it has been going on for a while.,Suicidal
I think I feel like I never have enough time to finish everything and it is exhausting.,Stress
It feels like irritable and snappy because of stress more than I would like to admit.,Stress
Sometimes I feel like I am trapped in my own patterns and cannot break free more than I would like to admit.,Personality Disorder
Most days I cannot find joy in anything anymore and I wish I could change it.,Depression
I can't switch off even when I get home,Stress
To be honest I feel like there is no hope left for me,Suicidal
I think Small comments from others can completely ruin my day and it has been going on for a while.,Personality Disorder
Today I feel hopeless about the future and it has been going on for a while.,Depression
I feel like Then I slept for 15 hours because I felt so depressed and it is hard.,Bi-Polar
Every day Work is stressing me out more than ever and it is hard.,Stress
Honestly I feel like my heart is going to jump out of my chest and that worries me.,Anxiety
To be honest I feel like I don't want to be here anymore and I wish I could change it.,Suicidal
It feels like like I am different people in different situations lately.,Personality Disorder
Today I feel like I am at the end of my rope more than I would like to admit.,Suicidal
I think I feel like I never have enough time to finish everything and that worries me.,Stress
Every day Then I feel heavy and hopeless and cannot do anything and I do not know what to do.,Bi-Polar
Sometimes I have been isolating myself from friends and family,Depression
Every day I worry about my health constantly,Anxiety
I feel like I feel very low and unmotivated most days and it is hard.,Depression
For a while now I feel restless and on edge all the time lately.,Anxiety
I notice that I always feel like something bad is about to happen,Anxiety
Lately I feel like giving up even though I know I should not lately.,Depression
Every day Stress is making it hard to eat and sleep properly and it is hard.,Stress
Most days I feel stressed about my family and their problems lately.,Stress
Often I felt on top of the world yesterday but today I feel hopeless and that worries me.,Bi-Polar
I notice that I don't feel like talking to anyone and I wish I could change it.,Depression
For a while now Small comments from others can completely ruin my day every single day.,Personality Disorder
Today I feel okay and that is enough for today lately.,Normal
Most days I feel like I am done with life and that worries me.,Suicidal
It feels like I managed to finish a big task at work and feel proud lately.,Normal
Today I feel like I am a burden and life would be easier without me which is not normal for me.,Suicidal
To be honest I get headaches from all the stress I am under which is not normal for me.,Stress
To be honest I go from loving someone to hating them very quickly and that worries me.,Personality Disorder
I feel like I had a nice weekend spending time with my family and that worries me.,Normal
It feels like I have been eating too much or too little lately lately.,Depression
Most days I feel like everyone is judging me lately.,Anxiety
I think My hands are shaking and I feel tense and it is exhausting.,Anxiety
It feels like I am happy with where things are going in my life,Normal
I get headaches from all the stress I am under more than I would like to admit.,Stress
Today I am terrified of being abandoned by the people I love which is not normal for me.,Personality Disorder
Lately I feel like other people do not experience emotions as strongly as I do more than I would like to admit.,Personality Disorder
Today Now I feel so empty and cannot think clearly at all and it is exhausting.,Bi-Polar
I feel like I feel worthless and like I am not good enough more than I would like to admit.,Depression
Lately I have been very talkative and energetic for days now and that worries me.,Bi-Polar
Honestly I have been sleeping too much and still feel tired and it has been going on for a while.,Depression
I feel like I feel so stressed that I have stopped taking care of myself which is not normal for me.,Stress
For a while now I feel very intense emotions that others do not seem to feel and I do not know what to do.,Personality Disorder
Honestly I slept well last night and feel energized and it is hard.,Normal
For a while now I feel supported by the people around me which is not normal for me.,Normal
I think I feel optimistic and hopeful about my future and it is hard.,Normal
Often I have been very talkative and energetic for days now more than I would like to admit.,Bi-Polar
For a while now I get very anxious before meetings or social events lately.,Anxiety
Most days I feel irritable and restless and then suddenly very sad and it has been going on for a while.,Bi-Polar
Today Work has been going well and I feel productive every single day.,Normal
Today I don't see any reason to keep going every single day.,Suicidal
I think I'm afraid of embarrassing myself in front of others every single day.,Anxiety
Most days I went for a walk and felt refreshed every single day.,Normal
Recently I feel like I am different people in different situations,Personality Disorder
It feels like I have been thinking that everyone would move on just fine without me and I do not know what to do.,Suicidal
I notice that I feel normal for a while then everything goes extreme again and I wish I could change it.,Bi-Polar
Lately I had a nice weekend spending time with my family lately.,Normal
I feel like My mood swings so much it is hard to keep up and that worries me.,Bi-Polar
Lately I feel healthy both mentally and physically today and it is hard.,Normal
Every day I feel anxious about going out today and it is hard.,Anxiety
Often I have so much on my plate and I don't know where to start and I do not know what to do.,Stress
Sometimes I feel like my worry is out of control which is not normal for me.,Anxiety
Most days I feel like no one understands how deeply I feel things and it is hard.,Personality Disorder
Every day I feel balanced and calm today more than I would like to admit.,Normal
For a while now I feel comfortable in my own skin today every single day.,Normal
Today I feel content and grateful for my life and it is exhausting.,Normal
To be honest I feel like nobody would miss me if I were gone and I do not know what to do.,Suicidal
Often I feel positive about the future more than I would like to admit.,Normal
I feel like I have no energy to do anything today and that worries me.,Depression
I feel like I have been very talkative and energetic for days now and I do not know what to do.,Bi-Polar
I feel like I feel on edge even when I am at home and I wish I could change it.,Anxiety
To be honest I feel like I don't want to be here anymore and I wish I could change it.,Suicidal
Most days I act impulsively to avoid feeling the pain I carry inside and it is hard.,Personality Disorder
Every day I had racing thoughts for days and could not slow down lately.,Bi-Polar
Often I feel mentally clear and emotionally stable more than I would like to admit.,Normal
I think I feel like I need constant reassurance that people care and that worries me.,Personality Disorder
Today I alternate between feeling special and feeling worthless lately.,Personality Disorder
I notice that I have been saying goodbye to people close to me and that worries me.,Suicidal
Often My relationships are either perfect or completely broken which is not normal for me.,Personality Disorder
Every day I feel very sensitive to rejection and criticism and I wish I could change it.,Personality Disorder
Every day I feel like nobody would notice if I disappeared more than I would like to admit.,Depression
Sometimes I feel like nobody would miss me if I were gone,Suicidal
Most days I feel like I want to end everything tonight lately.,Suicidal
Every day I made a lot of impulsive decisions when I was in a high mood more than I would like to admit.,Bi-Polar
Every day I feel anxious about going out today and it is hard.,Anxiety
Today I feel completely alone even when surrounded by people and I wish I could change it.,Depression
To be honest I have been thinking about ways to hurt myself which is not normal for me.,Suicidal
I think I feel like I never have enough time to finish everything every single day.,Stress
Most days I feel like the pressure is never going to let up,Stress
Recently People around me notice my mood changes before I do which is not normal for me.,Bi-Polar
I notice that I feel like my moods shift without warning or reason and it has been going on for a while.,Personality Disorder
I notice that I feel irritable and restless and then suddenly very sad,Bi-Polar
To be honest I check things multiple times because I am afraid of making mistakes and it is exhausting.,Anxiety
Recently I am feeling motivated and focused which is not normal for me.,Normal
I feel uneasy and I don't know why and that worries me.,Anxiety
Today I feel like I am too intense for most people more than I would like to admit.,Personality Disorder
I feel like I am failing at everything and I do not know what to do.,Depression
I feel like My boss keeps piling more work on me and I can't cope and it is exhausting.,Stress
Every day I keep worrying about things that might never happen,Anxiety
I notice that I feel like there is no end to the stress in my life and I wish I could change it.,Stress
Often When I am angry I cannot control my reactions and it is exhausting.,Personality Disorder
Honestly I feel at ease and comfortable with myself more than I would like to admit.,Normal
Most days I feel at ease and comfortable with myself and that worries me.,Normal
To be honest I went days without sleep because I had so much energy more than I would like to admit.,Bi-Polar
I feel like I have no energy to do anything today and it has been going on for a while.,Depression
My emotions go from one extreme to the other very quickly and that worries me.,Bi-Polar
I think I am feeling steady and grounded lately.,Normal
It feels like like my life has no value every single day.,Suicidal
I think I feel like I never have enough time to finish everything and it has been going on for a while.,Stress
Lately I keep overthinking every little thing which is not normal for me.,Anxiety
I feel like nothing will ever get better so why try lately.,Suicidal
I feel like I cry for no reason sometimes,Depression
To be honest I had a productive day and feel satisfied and it has been going on for a while.,Normal
To be honest I sometimes hurt myself when I feel overwhelmed more than I would like to admit.,Personality Disorder
Recently I feel like everyone would be better off without me which is not normal for me.,Suicidal
Recently I push people away even when I want them to stay more than I would like to admit.,Personality Disorder
Often I feel confident and ready to face challenges and it is exhausting.,Normal
Often I feel very creative and energetic sometimes without explanation which is not normal for me.,Bi-Polar
Most days I am looking forward to the weekend and it has been going on for a while.,Normal
To be honest I am overwhelmed by financial stress and do not know what to do and it is hard.,Stress
It feels like My mood is unpredictable and it affects everyone around me and it is hard.,Bi-Polar
It feels like I have been eating too much or too little lately,Depression
For a while now Now I feel so empty and cannot think clearly at all and that worries me.,Bi-Polar
Honestly Everything feels like too much effort lately.,Depression
To be honest My relationships suffer because of my extreme mood changes and it is exhausting.,Bi-Polar
I think I get very anxious before meetings or social events and it is hard.,Anxiety
Today Work has been going well and I feel productive lately.,Normal
For a while now Now I feel so empty and cannot think clearly at all and it is hard.,Bi-Polar
Today I feel okay and that is enough for today and it is exhausting.,Normal
Recently I am happy with where things are going in my life and that worries me.,Normal
I think I spent too much money when I was feeling really good every single day.,Bi-Polar
I notice that I feel like the pressure is never going to let up and I wish I could change it.,Stress
Often I feel like I want to disappear forever and I do not know what to do.,Suicidal
I think I feel irritated and overwhelmed all the time,Stress
Often I feel very creative and energetic sometimes without explanation more than I would like to admit.,Bi-Polar
Most days Getting out of bed feels impossible these days every single day.,Depression
Sometimes I am enjoying my hobbies and feeling good and I wish I could change it.,Normal
Recently I worry about my health constantly and it is exhausting.,Anxiety
Recently I feel like I am constantly running but going nowhere and I do not know what to do.,Stress
For a while now I feel like I am too intense for most people and it is hard.,Personality Disorder
Recently Even small decisions make me feel anxious and that worries me.,Anxiety
Recently I struggle to trust people because I have been hurt so much every single day.,Personality Disorder
Every day I feel very negative about myself and my future lately.,Depression
Sometimes I have a very unstable self-image and I do not know what to do.,Personality Disorder
I feel completely overwhelmed by everything I have to do and I do not know what to do.,Stress
Lately I feel short of breath when I am stressed and I wish I could change it.,Anxiety
Recently I don't want to wake up tomorrow,Suicidal
Often My mood swings so much it is hard to keep up lately.,Bi-Polar
It feels like very negative about myself and my future which is not normal for me.,Depression
Every day Then I feel heavy and hopeless and cannot do anything and that worries me.,Bi-Polar
Today I feel optimistic and hopeful about my future and I wish I could change it.,Normal
I am overwhelmed by financial stress and do not know what to do and I do not know what to do.,Stress
Recently I feel disconnected from life and the people around me and that worries me.,Depression
I think I do impulsive things that hurt me without thinking first and it has been going on for a while.,Personality Disorder
Lately I had a great conversation with a friend today and I wish I could change it.,Normal
Every day I feel disconnected from life and the people around me and it is exhausting.,Depression
I feel like I am moving through fog every day which is not normal for me.,Depression
Sometimes I am enjoying my hobbies and feeling good every single day.,Normal
Most days I feel stressed about my family and their problems and it is exhausting.,Stress
When I am in a high phase I feel like I can do anything and I wish I could change it.,Bi-Polar
Often I used to love going out but now I just stay home which is not normal for me.,Depression
Sometimes I get really nervous in new situations which is not normal for me.,Anxiety
It feels like I had a great week but now I feel really low for no reason and I wish I could change it.,Bi-Polar
Sometimes I had a nice conversation and feel uplifted which is not normal for me.,Normal
Every day I get panic attacks out of nowhere and I do not know what to do.,Anxiety
For a while now I feel restless and on edge all the time and I do not know what to do.,Anxiety
Sometimes I don't see the point in trying anymore and it is hard.,Depression
I think I feel like I am at the end of my rope and it is hard.,Suicidal
I feel like I feel positive about the future and I do not know what to do.,Normal
Every day I had a great week but now I feel really low for no reason,Bi-Polar
It feels like I struggle to trust people because I have been hurt so much more than I would like to admit.,Personality Disorder
Honestly I feel calm and in control of my emotions lately.,Normal
Today I don't see any reason to keep going and that worries me.,Suicidal
Sometimes I get really nervous in new situations and it is exhausting.,Anxiety
Today I'm afraid of embarrassing myself in front of others and it is exhausting.,Anxiety
Lately I feel well-rested and energized for the day and that worries me.,Normal
Sometimes I feel like there is no future for me and that worries me.,Suicidal
Every day I worry about my health constantly which is not normal for me.,Anxiety
Honestly I am tired of fighting and want to stop and it is hard.,Suicidal
I notice that Everything feels like too much effort and I do not know what to do.,Depression
I think I feel stressed about money and I can't stop thinking about it,Stress
Most days I think about death a lot and it comforts me and I do not know what to do.,Suicidal
For a while now I feel like I need to do everything at once when I am high and it is hard.,Bi-Polar
For a while now I cannot relax even on weekends because of work stress and it has been going on for a while.,Stress
I think I feel very intense emotions that others do not seem to feel and it has been going on for a while.,Personality Disorder
Lately I feel like other people do not experience emotions as strongly as I do and that worries me.,Personality Disorder
Honestly I feel calm and in control of my emotions and it is hard.,Normal
It feels like I have been thinking about suicide more and more and it has been going on for a while.,Suicidal
Leaving the house feels really hard some days every single day.,Anxiety
For a while now Work has been going well and I feel productive more than I would like to admit.,Normal
It feels like I have very intense emotions that shift very quickly and it is exhausting.,Personality Disorder
For a while now I spent too much money when I was feeling really good and it has been going on for a while.,Bi-Polar
I notice that I feel burned out and exhausted from all the pressure,Stress
For a while now I feel overwhelmed by sadness all the time and I wish I could change it.,Depression
To be honest I go from loving someone to hating them very quickly and it is exhausting.,Personality Disorder
Honestly Then suddenly I crash and feel totally depressed and it has been going on for a while.,Bi-Polar
Honestly I feel stressed about my family and their problems and it has been going on for a while.,Stress
Most days Then when I am low I feel paralyzed and cannot do anything lately.,Bi-Polar
I get headaches from all the stress I am under and I wish I could change it.,Stress
I feel like other people do not experience emotions as strongly as I do,Personality Disorder
Sometimes I get headaches from all the stress I am under lately.,Stress
Today I cannot relax even on weekends because of work stress and that worries me.,Stress
I think I am terrified of being abandoned by the people I love and it is exhausting.,Personality Disorder
Often I feel like the pain will never stop so why continue and it has been going on for a while.,Suicidal
Sometimes I feel like I am failing at everything and I wish I could change it.,Depression
I feel like Deadlines are piling up and I feel panicked every single day.,Stress
I think I feel like I am a burden and life would be easier without me more than I would like to admit.,Suicidal
I feel scared even when nothing is wrong and it is exhausting.,Anxiety
It feels like I keep worrying about things that might never happen and it is exhausting.,Anxiety
I think I avoid phone calls because they make me anxious which is not normal for me.,Anxiety
Every day I feel like I am different people in different situations and that worries me.,Personality Disorder
To be honest I worry too much about what others think of me and it is exhausting.,Anxiety
Most days I avoid going to crowded places because I get overwhelmed and that worries me.,Anxiety
Often I feel on edge even when I am at home every single day.,Anxiety
I think Now I feel so empty and cannot think clearly at all more than I would like to admit.,Bi-Polar
I feel like I can never relax or take a break and it is exhausting.,Anxiety
My relationships suffer because of my extreme mood changes more than I would like to admit.,Bi-Polar
I feel like I feel grandiose and special sometimes but then worthless the next,Bi-Polar
I worry too much about what others think of me every single day.,Anxiety
I think I feel like I am a burden and life would be easier without me and I wish I could change it.,Suicidal
Every day I have been thinking that everyone would move on just fine without me every single day.,Suicidal
Sometimes I feel like there is no hope left for me which is not normal for me.,Suicidal
Sometimes I feel like my mind works differently from everyone else and that worries me.,Bi-Polar
Today I feel supported by the people around me and that worries me.,Normal
Most days My mind races at night and I can't fall asleep,Anxiety
To be honest I feel very empty inside most of the time,Personality Disorder
Lately I feel like my identity changes depending on who I am with and it has been going on for a while.,Personality Disorder
Today I feel like I never have enough time to finish everything and it is hard.,Stress
I feel like My heart is racing and I can't calm down every single day.,Anxiety
Most days I think about death a lot and it comforts me,Suicidal
I feel like My mood swings so much it is hard to keep up and it is exhausting.,Bi-Polar
I notice that I always feel like something bad is about to happen and I wish I could change it.,Anxiety
Recently I had a great week but now I feel really low for no reason and I wish I could change it.,Bi-Polar
Every day I feel like I am different people in different situations and that worries me.,Personality Disorder
I feel like I cannot take the pain anymore and it has been going on for a while.,Suicidal
I think I feel optimistic and hopeful about my future,Normal
It feels like My mood is unpredictable and it affects everyone around me which is not normal for me.,Bi-Polar
Often I feel short of breath when I am stressed more than I would like to admit.,Anxiety
It feels like Stress is making it hard to eat and sleep properly more than I would like to admit.,Stress
Recently I worry about my health constantly and it is hard.,Anxiety
Often I used to love going out but now I just stay home which is not normal for me.,Depression
Sometimes I feel no major worries today and that feels nice every single day.,Normal
Today I used to smile a lot but lately I just feel numb lately.,Depression
Every day I have very intense emotions that shift very quickly every single day.,Personality Disorder
Every day I feel like I am trapped and death is the only escape lately.,Suicidal
To be honest I feel like I am moving through fog every day and it has been going on for a while.,Depression
I notice that I feel grateful and present in the moment and it is hard.,Normal
My emotions go from one extreme to the other very quickly which is not normal for me.,Bi-Polar
Often My mood swings so much it is hard to keep up and that worries me.,Bi-Polar
Recently I feel dread every morning when I wake up and it is hard.,Anxiety
Often My relationships are either perfect or completely broken and I wish I could change it.,Personality Disorder
To be honest My relationships suffer because of my extreme mood changes and it is exhausting.,Bi-Polar
I feel like I feel very creative and energetic sometimes without explanation lately.,Bi-Polar
Often My relationships are either perfect or completely broken and that worries me.,Personality Disorder
Honestly I am looking forward to the weekend and it is exhausting.,Normal
I think I feel like I sabotage things when they are going well and it has been going on for a while.,Personality Disorder
I feel like I have no stable sense of self and it is hard.,Personality Disorder
I feel like I cannot meet everyone's expectations and that worries me.,Stress
I think I feel relaxed and at peace today and I do not know what to do.,Normal
I notice that I feel like my stress is making me physically ill and it has been going on for a while.,Stress
Most days I feel like I am stretched too thin and something has to give lately.,Stress
Honestly Then suddenly I crash and feel totally depressed more than I would like to admit.,Bi-Polar
It feels like My mood changes without any clear reason which is not normal for me.,Bi-Polar
Every day People around me notice my mood changes before I do and it is hard.,Bi-Polar
Honestly I slept well last night and feel energized and it has been going on for a while.,Normal
Every day I feel like I am drowning in responsibilities every single day.,Stress
Today I don't see any reason to keep going and I do not know what to do.,Suicidal
I think I have been grinding my teeth at night from stress and it is exhausting.,Stress
I feel like I feel very low and unmotivated most days which is not normal for me.,Depression
I check things multiple times because I am afraid of making mistakes lately.,Anxiety
For a while now I feel like I am a burden and life would be easier without me and I wish I could change it.,Suicidal
Sometimes I am so stressed that I feel sick to my stomach,Stress
Honestly I feel at ease and comfortable with myself,Normal
I feel like I do not feel motivated to take care of myself lately.,Depression
I notice that I feel grateful and present in the moment more than I would like to admit.,Normal
Often But when I am low I can barely get out of bed and it is hard.,Bi-Polar
I notice that I feel like my moods shift without warning or reason more than I would like to admit.,Personality Disorder
Today I feel relaxed and at peace today and I wish I could change it.,Normal
Sometimes I am overwhelmed by financial stress and do not know what to do lately.,Stress
Often I feel mentally clear and emotionally stable and I do not know what to do.,Normal
Lately I feel like my emotions are always at a ten out of ten and that worries me.,Personality Disorder
I notice that I feel confused about whether I am happy or sad every single day.,Bi-Polar
Honestly I feel like the pressure is never going to let up and that worries me.,Stress
I notice that I feel like life is passing me by and I cannot do anything,Depression
I notice that I am tired of fighting and want to stop,Suicidal
Recently I feel like nobody would notice if I disappeared,Depression
Often I feel pressure from all sides and cannot handle it and it has been going on for a while.,Stress
Often I feel like I am juggling too many things at once lately.,Stress
I feel like I am on a rollercoaster I cannot get off,Bi-Polar
Sometimes I went days without sleep because I had so much energy and it has been going on for a while.,Bi-Polar
Today I feel stressed about money and I can't stop thinking about it and that worries me.,Stress
To be honest I feel like I am trapped in my own patterns and cannot break free and it has been going on for a while.,Personality Disorder
Sometimes I can't switch off even when I get home,Stress
I feel like I feel very low and unmotivated most days every single day.,Depression
For a while now My hands are shaking and I feel tense and it is hard.,Anxiety
To be honest I go from loving someone to hating them very quickly and it is exhausting.,Personality Disorder
Honestly I feel grateful and present in the moment and that worries me.,Normal
I feel like I feel on edge even when I am at home and it is exhausting.,Anxiety
I feel like I have no stable sense of self and I do not know what to do.,Personality Disorder
I feel like I feel very creative and energetic sometimes without explanation and it is hard.,Bi-Polar
Often I feel like the pain will never stop so why continue more than I would like to admit.,Suicidal
I feel like giving up even though I know I should not and it is hard.,Depression
It feels like I am happy with where things are going in my life and I do not know what to do.,Normal
I don't see the point in trying anymore and it has been going on for a while.,Depression
I notice that I went for a walk and felt refreshed,Normal
It feels like I am feeling motivated and focused and it is exhausting.,Normal
Today I feel irritated and overwhelmed all the time and I do not know what to do.,Stress
I think I feel short-tempered and frustrated because of stress and I do not know what to do.,Stress
Every day People around me notice my mood changes before I do and it is exhausting.,Bi-Polar
Honestly I feel like I cannot handle any more pressure and I do not know what to do.,Anxiety
Sometimes I feel like a burden to everyone around me,Depression
I feel physically tense all the time because of stress and that worries me.,Stress
I notice that I feel like I am stretched too thin and something has to give and I do not know what to do.,Stress
Lately I feel stressed about my future and what will happen and it is exhausting.,Stress
Lately I feel like I am on a rollercoaster I cannot get off which is not normal for me.,Bi-Polar
I notice that I struggle to maintain stable relationships more than I would like to admit.,Personality Disorder
Lately I feel like I am juggling too many things at once and it is exhausting.,Stress
Sometimes I feel scared even when nothing is wrong more than I would like to admit.,Anxiety
I notice that I cannot find joy in anything anymore and it has been going on for a while.,Depression
For a while now I feel like ending it all is the only option left more than I would like to admit.,Suicidal
Today I feel like I never have enough time to finish everything and I do not know what to do.,Stress
Recently People around me notice my mood changes before I do and that worries me.,Bi-Polar
For a while now I feel unstable and it is very hard to maintain a routine every single day.,Bi-Polar
Often I feel mentally clear and emotionally stable lately.,Normal
Most days I feel like people always leave me and it is my fault and that worries me.,Personality Disorder
I feel like I feel worthless and like I am not good enough lately.,Depression
Honestly I feel normal for a while then everything goes extreme again and that worries me.,Bi-Polar
I think I feel like nobody really cares about me lately.,Depression
I can't switch off even when I get home and it is hard.,Stress
I think I feel completely alone even when surrounded by people and that worries me.,Depression
Most days I feel burned out and exhausted from all the pressure every single day.,Stress
Sometimes I feel no major worries today and that feels nice which is not normal for me.,Normal
It feels like I have been giving away my things lately lately.,Suicidal
Most days I feel burned out and exhausted from all the pressure lately.,Stress
For a while now I feel unstable and it is very hard to maintain a routine more than I would like to admit.,Bi-Polar
I feel like I feel on edge even when I am at home and it is exhausting.,Anxiety
Sometimes When I am in a high phase I feel like I can do anything every single day.,Bi-Polar
I feel like my worry is out of control and it is hard.,Anxiety
Lately I feel very creative and energetic sometimes without explanation which is not normal for me.,Bi-Polar
I feel like I feel so stressed that I have stopped taking care of myself and I wish I could change it.,Stress
Today I feel like I sabotage things when they are going well and it is exhausting.,Personality Disorder
Honestly I feel like life is passing me by and I cannot do anything and that worries me.,Depression
I notice that I have done things I regret when I was overwhelmed with emotion every single day.,Personality Disorder
Recently I feel a sense of purpose in what I am doing which is not normal for me.,Normal
I think I feel like a failure and nothing I do is good enough and I do not know what to do.,Depression
I feel like Then I slept for 15 hours because I felt so depressed and it is hard.,Bi-Polar
It feels like like my emotions control me rather than the other way around every single day.,Personality Disorder
I notice that I had a laugh with coworkers and feel connected and it is hard.,Normal
Honestly I feel like I am stretched too thin and something has to give and it has been going on for a while.,Stress
Every day I had a great week but now I feel really low for no reason,Bi-Polar
Every day I lost interest in things I used to enjoy and it is exhausting.,Depression
I feel like I feel well-rested and energized for the day and I wish I could change it.,Normal
Often I feel so restless like I cannot sit still every single day.,Anxiety
I feel like I had a great conversation with a friend today and I do not know what to do.,Normal
Today I spent too much money when I was feeling really good and it has been going on for a while.,Bi-Polar
Every day I am happy with where things are going in my life and it has been going on for a while.,Normal
Often I feel positive about the future and I do not know what to do.,Normal
Recently I feel like I am trapped and death is the only escape and it has been going on for a while.,Suicidal
It feels like I am happy with where things are going in my life and it is exhausting.,Normal
Most days I feel like my stress is making me physically ill,Stress
I notice that I wish I could just go to sleep and not wake up which is not normal for me.,Suicidal
I feel like I feel well-rested and energized for the day more than I would like to admit.,Normal
I think I keep imagining worst case scenarios and it has been going on for a while.,Anxiety
Most days I avoid going to crowded places because I get overwhelmed,Anxiety
Lately I think about hurting myself when the pain gets too bad and I do not know what to do.,Suicidal
I feel like I feel manipulative sometimes even though I do not mean to be,Personality Disorder
Most days I feel like no one understands how deeply I feel things and it is hard.,Personality Disorder
Most days I feel like my stress is making me physically ill and it has been going on for a while.,Stress
For a while now I'm afraid of embarrassing myself in front of others and I wish I could change it.,Anxiety
I feel like I have run out of reasons to stay alive and it is hard.,Suicidal
For a while now Even good news can make me feel anxious and I wish I could change it.,Anxiety
For a while now Work has been going well and I feel productive and it is exhausting.,Normal
Most days I feel at ease and comfortable with myself,Normal
Recently I have been thinking that everyone would move on just fine without me and it has been going on for a while.,Suicidal
Today I feel empty inside like nothing matters every single day.,Depression
I feel like I keep thinking about what it would be like to die,Suicidal
Today I feel like I am too intense for most people,Personality Disorder
Often My stomach hurts because I'm so worried and it has been going on for a while.,Anxiety
I feel like Deadlines are piling up and I feel panicked and it is exhausting.,Stress
Often I feel on edge even when I am at home and it has been going on for a while.,Anxiety
It feels like Work is stressing me out more than ever lately.,Stress
Today Sometimes I feel so energetic I barely need sleep,Bi-Polar
For a while now I feel tense and stressed even when I wake up in the morning and I wish I could change it.,Stress
I notice that I feel stressed about my family and their problems every single day.,Stress
Often I feel like nothing will ever get better so why try more than I would like to admit.,Suicidal
I feel happy about the progress I have been making and I do not know what to do.,Normal
To be honest I am managing my time well and feel in control,Normal
I have a very unstable self-image which is not normal for me.,Personality Disorder
It feels like I am in a good mood and everything seems manageable lately.,Normal
I notice that My mind races at night and I can't fall asleep and it is hard.,Anxiety
Recently I feel like I am stuck in a dark place and it is exhausting.,Depression
Every day I struggle to trust people because I have been hurt so much and it has been going on for a while.,Personality Disorder
For a while now I am feeling steady and grounded lately.,Normal
Lately I feel manipulative sometimes even though I do not mean to be and I do not know what to do.,Personality Disorder
To be honest My appetite changes completely depending on my mood more than I would like to admit.,Bi-Polar
I think I'm afraid of embarrassing myself in front of others and it is hard.,Anxiety
Honestly I avoid going to crowded places because I get overwhelmed more than I would like to admit.,Anxiety
It feels like People around me notice my mood changes before I do which is not normal for me.,Bi-Polar
I have been thinking about ways to hurt myself and I wish I could change it.,Suicidal
Lately I keep thinking about what it would be like to die every single day.,Suicidal
Every day My mood changes without any clear reason every single day.,Bi-Polar
I think Small comments from others can completely ruin my day more than I would like to admit.,Personality Disorder
Often I do not feel motivated to take care of myself and I wish I could change it.,Depression
